etapa,perigo,amostras,nulos,duplicados,qc_completude_pct,qc_ratio_max_min,class_DESPREZÍVEL,class_BAIXA,class_MÉDIA,class_ALTA
recepcao,bio,300,0,0,100.0,10.666666666666666,48,112,128,12
recepcao,fis,300,0,0,100.0,2.0416666666666665,81,0,147,72
recepcao,qui,300,0,0,100.0,3.5806451612903225,31,82,111,76
desoperculacao,bio,300,0,2,100.0,6.434782608695652,23,91,148,38
desoperculacao,fis,300,0,2,100.0,1.0833333333333333,156,0,0,144
desoperculacao,qui,300,0,2,100.0,1.0689655172413792,155,0,0,145
centrifugacao,bio,300,0,0,100.0,3.7777777777777777,36,69,136,59
centrifugacao,fis,300,0,0,100.0,2.3260869565217392,107,46,91,56
centrifugacao,qui,300,0,0,100.0,2.3582089552238807,75,0,158,67
peneiragem,bio,300,0,0,100.0,1.0134228187919463,149,0,0,151
peneiragem,fis,300,0,0,100.0,6.434782608695652,23,91,148,38
peneiragem,qui,300,0,0,100.0,1.0408163265306123,153,0,0,147
decantacao,bio,300,0,0,100.0,4.0,33,90,132,45
decantacao,fis,300,0,0,100.0,9.076923076923077,13,59,118,110
decantacao,qui,300,0,0,100.0,1.0,300,0,0,0
envase,bio,300,0,0,100.0,1.7848101265822784,80,141,79,0
envase,fis,300,0,0,100.0,3.59375,32,92,115,61
envase,qui,300,0,0,100.0,7.294117647058823,17,68,124,91
rotulagem,bio,300,0,125,100.0,1.0833333333333333,144,0,0,156
rotulagem,fis,300,0,118,100.0,1.0134228187919463,149,0,0,151
rotulagem,qui,300,0,129,100.0,7.9375,16,68,127,89
armazenamento,bio,300,0,0,100.0,15.666666666666666,86,141,64,9
armazenamento,fis,300,0,0,100.0,1.881578947368421,76,0,143,81
armazenamento,qui,300,0,0,100.0,1.2222222222222223,135,0,0,165
expedicao,bio,300,0,0,100.0,4.333333333333333,71,117,85,27
expedicao,fis,300,0,0,100.0,2.5396825396825395,63,0,160,77
expedicao,qui,300,0,0,100.0,1.127659574468085,141,0,0,159
envase_rotulagem,bio,300,0,0,100.0,3.595744680851064,84,169,47,0
envase_rotulagem,fis,300,0,0,100.0,5.24,25,63,131,81
envase_rotulagem,qui,300,0,0,100.0,5.944444444444445,18,84,107,91
